,Unnamed: 0,model_name,mean_squared_error,mean_absolute_error,root_mean_squared_error,r2_score_,mape
0,0,naive,5931.7402,64.4914,77.0178,-2.5558,28.7895
1,1,tft,1411.6738,31.5093,37.5722,0.1538,13.7158
2,2,lstm,9194.9298,78.7371,95.8902,-4.512,36.6992
3,3,nbeats,4756.4876,55.2179,68.9673,-1.8513,24.7866
4,4,deepar,10767.6652,83.7181,103.7674,-5.4548,37.3648
5,5,tcn,4902.254,58.733,70.0161,-1.9387,24.57
6,6,transformer,3710.4251,51.3384,60.9133,-1.2242,21.1374
7,7,arima,4035.6583,52.0185,63.5268,-1.4192,23.424
8,8,exponential_smoothing,6087.4758,65.3607,78.0223,-2.6492,29.1344
9,9,theta,5966.0326,64.6421,77.2401,-2.5764,28.9297
10,10,fft,2722.2524,42.2596,52.1752,-0.6319,16.9636
