naive,tft,lstm,nbeats,deepar,tcn,transformer,arima,exponential_smoothing,theta,fft,real
260.5676056338028,258.0898949741373,273.84963771157453,326.4455923872972,275.05830457829006,240.0664377529369,240.64894235134167,265.9092034346732,254.76214999105204,260.634418911515,215.335257740967,267.6756448624768
267.6756448624768,265.3380135986588,283.0187134859636,360.4675318770081,283.81735655388724,248.13850522648536,253.3118307426549,279.4142604443297,263.403659849792,267.74246189501974,214.7297762427227,287.87752419643925
287.87752419643925,282.6193606148748,292.2077735314332,355.6935740882537,300.42990990487067,265.69103352000167,273.7650250809747,306.1012251348984,290.5345066365831,287.9444081467072,215.01751539560618,285.948661233993
285.948661233993,283.6166726718548,299.8715886019647,344.1094644331694,289.77391750756675,272.48879484439334,288.6417931189839,306.2450224303505,290.9795748391126,286.0156056983213,217.78684726770874,287.7296635086573
287.7296635086573,285.29559780511863,305.775754987971,347.34019426314245,303.2625492053133,277.3802366503741,301.7434856588284,302.5218650920473,289.13096108227774,287.7966729250503,218.51491060213112,317.0827516325152
317.0827516325152,312.97114811403867,315.47786870081273,356.2069079627278,330.0022554223081,290.2225075216429,326.36422353302726,332.553291071141,312.70765753863043,317.14991717361687,219.55336297005906,336.1805364511692
336.1805364511692,330.3349460753236,329.0394525953826,373.8702432398738,353.3625116158227,306.9010747914482,353.29126034050523,340.3378725995622,336.64441766653385,336.24791726080406,269.195909141989,346.6646979865772
346.6646979865772,337.35557346442886,343.2153868573612,413.6353030321851,369.5782220059071,314.3520337386678,370.38095858163075,348.4397925576633,347.2883156000144,346.7323251508539,267.8849272186001,369.34865323036354
369.34865323036354,357.8531212413206,359.0617301561081,437.98784504065975,391.2592538964426,333.18450375462857,388.8067925444681,361.7097749990469,369.97257926413454,369.4165954404586,285.0767690294688,400.3445227705046
400.3445227705046,386.4450504768411,377.76030619511783,435.36470335499575,419.12249628493214,353.8642103120662,411.23501629207186,396.4146464396609,402.9758669495055,400.4128744573447,281.763709903104,374.86032082324454
374.86032082324454,341.40378561478667,348.20473858637735,379.22416876490905,411.6058472398961,292.3131338339149,328.9993667718835,370.82711880925217,380.03842264420325,374.92900066463244,276.00185355044806,293.36243570137634
293.36243570137634,238.6244001960471,284.2400673280759,281.6929868514221,355.95669756404095,225.46317040180327,258.0107558860645,285.22293581596955,289.1566916503482,293.43118798667916,267.5510555512509,256.74470457079155
256.74470457079155,212.44613745061238,232.75765200721352,230.8747143052234,313.145141795845,204.87753310332124,220.49671543563466,248.45081590252303,251.0867987423936,256.81341336379484,257.3202338531708,232.10385134122583
232.10385134122583,198.22517180032776,201.45358115818232,213.80674987477153,279.27903703315286,185.60020292057823,199.65003661515559,223.62575718791442,228.1353691484541,232.17244069890037,253.28795039072952,210.78655462184878
210.78655462184878,187.61333422133683,183.51759437178822,203.08463355092942,250.86257078457626,167.40893965699868,184.16775546206014,203.2035554356452,213.37253529507052,210.8549591267253,242.75386560229168,188.58005010248235
188.58005010248235,177.40312316062327,171.35882233661408,191.8922629357887,224.39108763786328,149.69846025269035,173.56486684863202,177.03946229060662,193.5697806400218,188.64820206253535,231.7855902146631,178.0540075140889
178.0540075140889,174.61093237044034,164.45877488579154,188.70204994932806,207.4495828687204,135.69862560957105,165.48892260618823,164.58492444471736,179.7967851888147,178.12187547224514,221.0340113341881,178.37530072173215
178.37530072173215,178.86175936219502,163.20396976221664,199.03074463037038,201.4731031952218,128.75922838055612,161.18798902530807,174.8636752245027,174.27105197783868,178.4428869802721,209.91225803067258,199.91764705882355
199.91764705882355,193.49689783509118,164.9037812095622,203.08140250305308,213.82370585981926,135.69666692639248,160.34467840662344,208.17474751809115,200.49661564081882,199.985018759466,211.85285158713597,179.15245623941277
179.15245623941277,187.30543250960963,165.43737743954156,202.87323185907198,202.62400923744192,135.3593953726381,158.76460406927762,193.32598539782887,180.0397576413836,179.21955171630978,217.05062842344645,187.33509053403623
187.33509053403623,192.70745640762996,167.1539398486719,191.64357015887063,206.0767326936673,139.29208968256972,160.75420792704077,197.6801786945444,188.3200363113063,187.40193495933426,213.74292341297675,205.84945652173917
205.84945652173917,214.94222960153098,185.83447898605792,218.30327711356776,219.53422169471636,180.7898773656255,181.16943482483487,223.81676934533525,208.1346993803303,205.9161076642101,211.2947225677937,213.65547249804752
213.65547249804752,227.51054396139133,207.22947725661768,233.11895014082185,229.05253856972075,193.55298320569455,198.7395423326639,236.19512220380744,217.77639691761172,213.7219551561314,209.67728081113088,226.21259930625493
226.21259930625493,237.2943294454085,221.0564259231035,227.89633633422764,241.1048981159836,189.94568350885362,209.03390282021786,238.45313326499775,221.61127257818433,226.2789519514119,208.9600145388986,233.55307454482994
233.55307454482994,243.46544271863877,228.94256731122417,229.84105120847659,250.14987450147126,192.14673576188173,219.44893890053876,240.27072647928202,227.69100143574158,233.61931992683432,209.05569956885512,236.97809762202755
236.97809762202755,246.79782678835215,234.02848660440858,238.47280288734615,255.85769578427372,200.9393405607039,229.43785681359964,241.84140306250396,232.79909233548835,237.04424631393138,209.84093881083209,251.06864397258735
251.06864397258735,259.3638325374325,241.28516348462242,262.270525649468,267.22097454731687,222.05983653206957,243.88380255915632,253.43431719613596,253.3526662199867,251.13473842310714,259.0452714081061,281.19558208955226
281.19558208955226,289.6212084757021,255.5280203730062,309.0384692350593,254.58390051202701,248.74290242225717,272.1082932763195,283.48553330422413,285.99628102476805,281.2617127979816,261.9854241482071,289.3129161118509
289.3129161118509,298.93523649467795,269.6969722915053,329.82341177946506,287.0471635200484,260.31853900533264,288.4722909052751,288.1666492390461,291.03238103516753,289.37910740555196,280.3202644856041,310.003120124805
