naive,tft,lstm,nbeats,deepar,tcn,transformer,arima,exponential_smoothing,theta,fft,real
260.5676056338028,261.23590715400405,194.90291119255838,237.72220670644336,286.8188638039376,237.9768115912272,290.8764154561372,311.60297496537817,260.4257021682988,262.17113008999667,194.63219299041901,233.55307454482994
267.6756448624768,284.11836303176426,179.19880789299916,256.04691031846045,277.2771205557929,248.72572375237007,220.41082290290922,316.63408810038686,267.8659582881775,269.27925605672266,193.70261347231295,236.97809762202755
287.87752419643925,328.94746171640645,185.95318281778913,249.91841554135868,335.1979448529397,220.309089959794,230.4756183343392,326.01674858630025,288.6657536418039,289.4827459036707,193.70497463974255,251.06864397258735
285.948661233993,357.43895360562925,189.71973961689574,263.4259675579013,328.79300137237,236.6264567053548,303.8675994027764,311.98650077943824,286.64150948113223,287.555327693856,192.82585740155247,281.19558208955226
287.7296635086573,328.4615369772531,195.31758733065672,212.50033569671,366.86045674715103,244.25866069206828,303.82008260770823,298.01204982533443,288.3394872836072,289.3378900895206,194.78143116916854,289.3129161118509
317.0827516325152,327.20271008936777,177.44409061031325,236.71063319919378,319.17679986628036,252.30019263058693,378.7467349072994,309.0705693467248,318.17557927427674,318.69473465602283,197.12492640308244,310.003120124805
336.1805364511692,285.54273170760115,221.95963022986072,228.08748076335348,399.8966904544983,255.72497191227737,354.11794755418657,310.88052576242364,337.8572355623441,337.7976824046325,240.5780760952324,327.42716108836987
346.6646979865772,308.7484811370568,252.29611780321386,210.56916196718058,221.0290623056094,264.0639053536177,370.28376225940497,314.33476318940285,348.88689343758693,348.2877534992427,238.09712486551743,204.8597194388778
369.34865323036354,227.13153930287461,293.47872622163334,221.55399207593717,170.4424351029062,264.5115803792516,387.59975385791586,328.917108008795,372.19223302067275,370.97927402375666,257.5230384719814,180.25666666666666
400.3445227705046,225.0464552648453,310.5459766370414,238.75975696097706,245.54372150906357,250.9846144894287,424.83629848895276,357.08986812448654,403.69452251342324,401.9849738543522,253.41919030753346,218.75796930342386
374.86032082324454,238.6145247822128,333.03177469937583,233.0093301755026,296.5891078803575,233.37783988187067,444.3088771962819,338.0248417214767,377.52410541744825,376.5086282589002,247.38638427724916,217.0748717948718
293.36243570137634,243.38755258493384,291.4225471191228,190.54115493731905,291.9882603805689,211.4041337802239,362.58143357873274,275.3137228166106,293.94178889813054,295.0124625935797,239.23493049298952,228.14693877551022
256.74470457079155,258.5220883263378,241.88205008081437,180.56265853616355,307.9781199896395,193.82951719489924,354.8020332975586,251.089239212176,256.4013926505267,258.3937030294475,229.82678508096816,236.73627362736275
232.10385134122583,271.4926565988861,212.42269668356872,188.2993090745675,311.199596495135,161.2493130725209,266.426624918865,237.06437108176522,231.58530944609086,233.7499874568289,222.79885236214184,244.71827613727058
210.78655462184878,292.48700564554616,274.9670588486873,174.66078278718416,281.8177056330479,141.3028858815935,205.8609694953296,227.04961827674146,209.65940771492316,212.4282554094346,213.31795766838167,264.23713420787084
188.58005010248235,309.70654445178735,286.96228945384047,187.0405232584687,316.71847854243043,139.59954593480555,190.65997468600418,217.07611138589988,186.89812194332097,190.2156895096355,203.8406362309905,271.5972350230415
178.0540075140889,315.1620809302156,294.13801501827527,153.12975209347775,287.3515209058234,147.17249184027355,178.73977172772535,220.60410630363984,175.9759117245193,179.68283487902238,194.8849960482087,267.1559086395233
178.37530072173215,331.52423660584213,287.4132543211973,123.71166115542421,302.524620503784,151.98527720189526,180.29124586574642,235.07236286066657,176.21260672526546,179.99737101364317,181.17564470829188,274.4981549815498
199.91764705882355,339.37036295296116,223.59686722005947,126.86765242302067,314.87797952408005,213.7229489548071,222.63171237719592,258.82273250657056,198.1902685122835,201.53457523428992,184.70819471862475,272.5268022181146
179.15245623941277,334.4477454382478,222.56139109328657,150.76540771825776,311.530397382819,244.655042381795,235.16966857380618,240.03096924271264,176.99490044722288,180.76274054516037,197.59309753369044,239.50142811805776
187.33509053403623,277.89959012627224,250.68839211104458,138.38797803865947,269.9548755989812,249.64793097026637,247.66025462050715,238.9263771618908,185.6945121223402,188.93935952268663,194.32019073975368,208.84245562130178
205.84945652173917,203.66382320706384,267.42786629312826,191.34726374726753,210.446804973,282.5789111237514,273.0582574665233,247.92946353369658,204.43331993411738,207.4490902635663,191.88697919712905,198.41141635137362
213.65547249804752,195.57306982988862,316.94045728887056,177.99769876261863,193.01534053351313,274.488622199904,364.92353134684055,241.7246959297373,212.39187883931757,215.25105894460597,190.26030865646615,194.33268892794376
226.21259930625493,178.1139136961139,321.7056866902452,304.34061350575246,191.01463410386768,312.37689860251487,347.5907260516408,234.94774845548474,225.25218601691262,227.80506707094415,189.50754634064825,176.2334568554791
233.55307454482994,170.50075102278765,336.09556794721874,313.1924951311883,151.13241888707117,288.93036255862063,392.7844958653484,231.29005666028752,232.79825223056997,235.14296620600732,189.54822901298556,171.34438596491228
236.97809762202755,183.3042051766614,282.50789302226764,329.67729684541166,161.19433960071686,269.0072780691588,397.26706988730365,228.29437819729515,236.41023899628988,238.56566737889622,190.2699088171921,180.32009029345372
251.06864397258735,211.03646931568136,204.62905871814965,353.8299840238657,171.13796614294253,343.93606594512397,403.492326467549,234.69021226582333,250.9549886929659,252.65491559161657,232.00316603020894,196.74265618535378
281.19558208955226,204.58878453432973,170.6836146403794,313.8690111343625,153.1356927490495,391.4365290990086,391.7474873147028,255.18530652234,281.68443971961943,282.78272939449806,233.04450756211463,208.2099385817979
289.3129161118509,289.45789111623986,143.41844890904508,328.3232788203762,220.00779646373658,409.3110998088436,391.77124738972395,258.3796655072543,289.79751221479876,290.9015099200184,252.18660092737795,259.2880680308265
310.003120124805,305.8971499320944,142.94720437602237,309.74193979781757,204.1849563454952,405.9690364494662,370.94474791390326,273.8501261629919,311.09478703219884,311.5946299456023,252.14778087422627,266.5544093178037
327.42716108836987,322.95357078502894,179.7479808689822,252.3139791732274,210.07354245105756,319.53323394161106,404.2667663113854,291.0440626114856,328.8541066179082,329.0228109686264,250.33677500785694,276.13834817991864
204.8597194388778,328.2737233020549,221.2683821333073,238.10594221658127,230.40006980536128,216.0835759375909,342.8493442363887,193.54504666098399,203.38517346876685,206.45069625007017,245.60009814429,288.81399449035814
180.25666666666666,334.2823687919943,292.83797913567145,180.70291987968764,248.1497709482355,216.0984404681623,284.20804659008706,177.26805204520747,178.2764246579787,181.8412262098179,239.14474418454697,290.9064622124863
218.75796930342386,348.45449089947647,236.89185781571874,188.29894869138954,298.34398409010424,224.23417451704296,269.1275850986053,214.73570291243732,217.6624438173674,220.33888825383377,231.8893001548973,285.8342661130168
217.0748717948718,371.15145621566774,284.5716741784416,198.72087273403395,268.69613086035343,224.03288488424187,263.68357200896673,215.83791212105248,215.9124262077729,218.65204413474387,223.80996265060924,256.9930410577592
228.14693877551022,317.92214870299864,145.1102309345624,215.37469861902423,226.84339574185532,210.41644119203832,260.29722613617565,228.90360691774663,227.1026965476092,229.7211636052887,215.40547007068855,229.11701127819552
236.73627362736275,249.3736123153811,157.94095339027413,233.11940219426944,216.29613751039082,243.29414125114707,317.49010645133905,246.00464695944163,236.05335433064798,238.30816865411444,207.02504152859527,205.3818439269981
244.71827613727058,206.88870752846728,152.31306793761266,206.23609449535954,185.1253191497405,220.19355390113387,251.00337394700804,261.55595596810076,244.68766127669096,246.2884109581143,199.30076682535318,189.23627565493078
264.23713420787084,187.0364118981798,297.2253630156153,234.26695809115938,157.8817715120638,198.13138993446375,227.42115510350737,278.2781975850275,264.3806756742149,265.8068888759278,192.3520951576704,178.8584379358438
271.5972350230415,182.69503141006768,266.5134042591308,244.35162591804922,200.29537906731093,196.7710468662077,223.95583857168944,281.1951847046346,271.66805751492075,273.1671218922005,202.1668926509591,181.91463197291034
267.1559086395233,189.0926924891581,278.61871858912224,260.8298634123567,163.4758622511086,196.039631092525,220.5248620658881,266.35856383574594,267.23191832554573,268.72560517045406,193.86494558132708,182.18977777777778
274.4981549815498,211.6117709845769,328.72539504459223,249.710369415416,143.95146606113246,212.2202782368879,261.66365746067817,266.04265266662026,274.7108714428057,276.0681684325931,185.3452374123943,193.84385165907614
272.5268022181146,216.32405326097367,300.9353120160572,315.14827047968885,177.99490335726676,209.88079408048122,259.7686030158379,264.323674966676,272.63580201702786,274.096983677035,190.23624342646062,180.39933571793563
239.50142811805776,279.9423711222614,292.22499345380425,295.27311575612356,226.37566667311015,174.44239744882714,299.57432731961575,226.22026221479004,238.99330507531872,241.06945742190183,188.02316988938216,255.84065244667505
