naive,tft,lstm,nbeats,deepar,tcn,transformer,arima,exponential_smoothing,theta,fft,real
260.5676056338028,257.5627698980883,273.5855256613075,285.1463192469535,314.56327543543114,253.03421152520588,257.51542825995324,265.9092034346732,254.76214999105204,260.634418911515,215.335257740967,267.6756448624768
267.6756448624768,275.04277236003895,287.66382399417313,275.50087538918183,319.1203115379478,273.51269873504896,270.96692027080263,279.4142604443297,263.403659849792,267.74246189501974,214.7297762427227,287.87752419643925
287.87752419643925,276.2093678196582,293.4894569166484,265.60230857433004,360.20728259305184,303.58399684575807,292.1483560355293,306.1012251348984,290.5345066365831,287.9444081467072,215.01751539560618,285.948661233993
285.948661233993,284.1716918346178,305.16825649230265,271.0423166978088,321.93879479453335,302.39308845685815,321.2985849408512,306.2450224303505,290.9795748391126,286.0156056983213,217.78684726770874,287.7296635086573
287.7296635086573,317.6714040253915,314.685248517352,277.4155827682611,319.3029181769053,302.75671501104847,356.1819387189587,302.5218650920473,289.13096108227774,287.7966729250503,218.51491060213112,317.0827516325152
317.0827516325152,369.93063661920354,332.61295253977005,283.4282924658231,329.27160709789615,326.22809465041735,351.1249658189828,332.553291071141,312.70765753863043,317.14991717361687,219.55336297005906,336.1805364511692
336.1805364511692,376.1111909530854,345.43701161461604,301.3741731286385,350.2824413609928,343.0997828562893,352.9001409399962,340.3378725995622,336.64441766653385,336.24791726080406,269.195909141989,346.6646979865772
346.6646979865772,355.75498895702873,354.41421397540915,360.77677484817883,358.0646751679824,349.40902179547,362.1946006114839,348.4397925576633,347.2883156000144,346.7323251508539,267.8849272186001,369.34865323036354
369.34865323036354,377.92983062700887,381.93461391581553,375.1552872321772,389.9259662667416,367.2833772693492,380.24423742211576,361.7097749990469,369.97257926413454,369.4165954404586,285.0767690294688,400.3445227705046
400.3445227705046,429.2732004181057,387.6539588624768,376.89003806892345,404.71581509657017,393.2175145196522,400.02728558773885,396.4146464396609,402.9758669495055,400.4128744573447,281.763709903104,374.86032082324454
374.86032082324454,321.4623651300809,312.872292532091,292.58124586314796,390.8643554985182,335.7938675294441,351.16158137758225,370.82711880925217,380.03842264420325,374.92900066463244,276.00185355044806,293.36243570137634
293.36243570137634,247.35556849950152,263.1347117416991,231.84733812037723,345.74218689299715,264.42470890430445,265.3288781242995,285.22293581596955,289.1566916503482,293.43118798667916,267.5510555512509,256.74470457079155
256.74470457079155,223.28271436157925,224.96886711563945,223.648050237637,314.5786386945577,232.65864444795085,236.61344069453762,248.45081590252303,251.0867987423936,256.81341336379484,257.3202338531708,232.10385134122583
232.10385134122583,218.75945191178857,213.15138729450686,213.1316992038596,271.66223161283574,216.35351636575632,201.56510248150278,223.62575718791442,228.1353691484541,232.17244069890037,253.28795039072952,210.78655462184878
210.78655462184878,208.19522832280902,196.94441754801562,197.16147169899665,259.4631913850199,202.90168843799242,196.43554906842778,203.2035554356452,213.37253529507052,210.8549591267253,242.75386560229168,188.58005010248235
188.58005010248235,190.14788753269903,182.38386981077124,168.92333206117067,243.0273476197387,189.56434144708217,196.1337098370785,177.03946229060662,193.5697806400218,188.64820206253535,231.7855902146631,178.0540075140889
178.0540075140889,180.21092350269737,178.97291286761134,177.93777278112057,230.49132667732175,178.7015318311805,186.5343051467396,164.58492444471736,179.7967851888147,178.12187547224514,221.0340113341881,178.37530072173215
178.37530072173215,198.72264999600796,179.81335687296254,185.03639921326413,211.67130758292362,185.91435509936733,193.82135613162112,174.8636752245027,174.27105197783868,178.4428869802721,209.91225803067258,199.91764705882355
199.91764705882355,204.6704159227699,198.2667619791456,184.25453565025327,221.5013258926289,201.43044362233957,200.0362832356662,208.17474751809115,200.49661564081882,199.985018759466,211.85285158713597,179.15245623941277
179.15245623941277,210.68354256270203,190.4553801710486,184.43879951078088,225.36521480817464,190.96699970370827,206.8585014235174,193.32598539782887,180.0397576413836,179.21955171630978,217.05062842344645,187.33509053403623
187.33509053403623,205.01515651664363,201.2696058513652,193.53531233604957,226.91664534127582,193.01865322177764,206.74210182166564,197.6801786945444,188.3200363113063,187.40193495933426,213.74292341297675,205.84945652173917
205.84945652173917,216.1368610002353,233.83897070439951,228.9476762238257,229.54219673174393,219.05225496864605,219.84915934702505,223.81676934533525,208.1346993803303,205.9161076642101,211.2947225677937,213.65547249804752
213.65547249804752,250.6093501405622,256.0126606960328,227.50608892631018,259.4438467846019,225.4382774517001,248.63961441547977,236.19512220380744,217.77639691761172,213.7219551561314,209.67728081113088,226.21259930625493
226.21259930625493,237.74623928420021,247.09324162480067,232.76277172557707,255.21527951770838,239.10927740728073,242.43968399948855,238.45313326499775,221.61127257818433,226.2789519514119,208.9600145388986,233.55307454482994
233.55307454482994,244.25352158444477,234.4492317932993,240.30044681201582,285.9870466646493,239.5915830426246,249.304495965358,240.27072647928202,227.69100143574158,233.61931992683432,209.05569956885512,236.97809762202755
236.97809762202755,249.10956048876102,238.15354055965443,244.95157900196443,273.824644812439,254.28950735592315,243.00354601798753,241.84140306250396,232.79909233548835,237.04424631393138,209.84093881083209,251.06864397258735
251.06864397258735,267.86902411332306,261.576266608329,263.6451484405798,282.9787363029155,266.4859104241235,259.41267147676473,253.43431719613596,253.3526662199867,251.13473842310714,259.0452714081061,281.19558208955226
281.19558208955226,317.82070838335096,272.9314808793718,320.2406683702973,306.0208582395624,285.88754859980537,296.776820392563,283.48553330422413,285.99628102476805,281.2617127979816,261.9854241482071,289.3129161118509
289.3129161118509,300.0197358616329,305.6314147368315,314.70460258685756,316.2744515525697,297.0198885671975,307.06971628664263,288.1666492390461,291.03238103516753,289.37910740555196,280.3202644856041,310.003120124805
310.003120124805,330.54649173294996,304.45033757996345,326.5658552702451,346.39914701678214,312.19385041828724,316.40160930646255,302.9810946934376,306.2057257048259,310.06943273948997,281.85570276931594,327.42716108836987
327.42716108836987,335.22015074304863,333.3311395539229,324.396639761254,329.43093586899425,330.9341629138419,320.25705010806024,327.14354684698304,327.75855704571387,327.49364625217646,281.0874686777342,204.8597194388778
204.8597194388778,170.6135598643236,258.8571755175521,196.69525901150993,279.3109805040344,201.2286210539583,200.3039512150832,199.08699714799795,205.81302539736689,204.92601189058806,276.70296481747016,180.25666666666666
180.25666666666666,175.70278742260334,167.12619292391858,203.30053855409017,259.3864849678999,182.69235455704217,191.85290484673843,168.97845340137636,181.44315618645018,180.32269033324596,269.9239352784765,218.75796930342386
218.75796930342386,217.1863456853479,202.68420438355403,213.65062614115172,265.6870805223701,212.42247864319964,223.86448715501325,215.60033548155948,221.11372362155333,218.82384037748892,261.72802800664795,217.0748717948718
217.0748717948718,221.95591096424005,261.44686151103696,242.93262157062946,254.28179385183628,214.22618930707955,239.21292375110133,212.49190584803037,221.3002952198308,217.14058733400668,252.1415341323372,228.14693877551022
228.14693877551022,242.1565928399478,241.6705915877092,275.8954953586521,258.92849707681455,236.83028789758083,255.87997575839134,216.18880646314332,223.6959579576297,228.21253131957545,241.77517210247657,236.73627362736275
236.73627362736275,242.36547938988258,244.94965294946633,270.51125752101535,268.924161151401,243.36415850428034,265.47463941469135,226.38540296959638,230.96930302912196,236.80176913175455,231.11237780276352,244.71827613727058
244.71827613727058,249.71531623079028,221.64387550445423,274.7890799896827,260.88718114148617,255.7430054049604,284.9569134345424,244.20959880282152,240.7584650946093,244.78369830842138,225.73879721316104,264.23713420787084
264.23713420787084,297.5156067011751,251.6153944345307,256.6911972461043,297.5926346707891,273.68383213316486,304.5244870478741,268.53564991903994,266.85068723150243,264.30254037457246,216.71338280317843,271.5972350230415
271.5972350230415,292.37014293439927,287.07317188324294,288.8262055365901,351.1512295296584,279.72533539286417,282.03936328656,286.67423213070526,276.4296840922872,271.66264687175294,219.3493238594506,267.1559086395233
267.1559086395233,278.78117665569806,295.490290425057,253.04615860843325,354.3099969906328,271.15985285556155,276.38104213885055,274.17823256922117,269.1078282226751,267.2213127260028,210.13986775880988,274.4981549815498
274.4981549815498,290.23577134384203,288.08225764110995,307.3489636838804,362.8707092036525,277.7342537944768,267.5933098674014,273.2198720248767,270.9760860124755,274.5635721047615,207.32702025562295,272.5268022181146
272.5268022181146,272.24323703819687,286.52253175679675,269.95676398550256,338.1827580408862,269.8316379303888,296.41849391573015,287.39607539076104,271.3956380108567,272.5922264746554,209.9689654060615,239.50142811805776
239.50142811805776,207.47362367100476,265.48656153201176,165.62107672676217,290.3582801142519,216.33272353091408,195.63449318751682,238.323197288653,240.16645611634783,239.56676314492915,207.35507326211544,208.84245562130178
208.84245562130178,197.63503994843944,217.26447957008403,181.82390005886816,244.14680931237143,194.81520810465108,176.42402130799212,197.8682503771192,210.47540900088296,208.9076118789222,205.05027649594686,198.41141635137362
198.41141635137362,172.78566367649776,191.74196021893047,170.9016207960121,230.32834128421868,179.01426354830102,162.59537645607395,193.56291309779442,200.71659477575704,198.4763639632185,203.32637389061617,194.33268892794376
