,Unnamed: 0,model_name,mean_squared_error,mean_absolute_error,root_mean_squared_error,r2_score_,mape
0,0,naive,5931.7402,64.4914,77.0178,-2.5558,28.7895
1,1,tft,2865.5541,46.5937,53.5309,-0.7178,19.7722
2,2,lstm,11312.0864,86.3846,106.3583,-5.7811,39.5714
3,3,nbeats,7006.4381,65.2014,83.7045,-3.2001,29.6462
4,4,deepar,2101.5118,35.4227,45.8422,-0.2598,14.8968
5,5,tcn,14449.7007,92.241,120.2069,-7.662,42.0035
6,6,transformer,9746.6025,78.3312,98.7249,-4.8427,36.9034
7,7,arima,4035.6583,52.0185,63.5268,-1.4192,23.424
8,8,exponential_smoothing,6087.4758,65.3607,78.0223,-2.6492,29.1344
9,9,theta,5966.0326,64.6421,77.2401,-2.5764,28.9297
10,10,fft,2722.2524,42.2596,52.1752,-0.6319,16.9636
