naive,tft,lstm,nbeats,deepar,tcn,transformer,arima,exponential_smoothing,theta,fft,real
160.03622641509435,160.23892794354302,122.97285342570702,144.8090997007646,268.9365997923539,109.98084495447473,166.4991194865729,167.45011945821415,153.30740870686196,160.09720102827012,202.63286930372425,149.33130948473908
149.33130948473908,160.56504935113085,119.58611027099255,141.03856976381041,241.82515193491508,90.33530822944714,163.35796225361835,154.50677913864823,144.4298623320088,149.39189691325046,181.91973525812003,170.31051752921536
170.31051752921536,170.0654353849858,121.54086722876312,142.91232520371514,244.13771925269202,94.68705544393919,161.08300389914612,176.68735015179425,171.12134771078047,170.3708035303485,162.296915241465,152.73245614035088
152.73245614035088,175.7048855658958,128.17821455796692,158.44059987605323,230.36713032131104,113.86233806460902,163.60106966931406,175.19251238399943,158.08082185009644,152.79237312408318,163.45656792352088,158.80390492359933
158.80390492359933,182.6630943011194,135.59805349158978,166.2136219585174,230.13651707456987,125.7879302372258,167.0325413506206,185.53865142336414,160.76005824354905,158.86347824041874,167.39000622839689,175.83833646028768
175.83833646028768,199.13087382614734,148.06316540753744,183.00722674666898,241.74782429321672,148.10697423754928,175.59447790507554,211.81849461567265,173.64187892125184,175.89763594305913,173.8759484855946,189.08053822152885
189.08053822152885,217.62749738285765,164.37789569158392,206.85038274086594,256.23137346503785,169.25962910755047,188.15339807904058,214.96762812926676,191.4208239138414,189.13961805105546,182.38649028704893,202.22844416162906
202.22844416162906,236.30953362449057,183.78901886591424,243.57117084110706,272.39968866562396,185.70382641328578,205.62170709566664,226.22390155283998,203.6761250243672,202.28735737913587,228.519477821605,211.63393421884885
211.63393421884885,244.99479503010986,196.61108257733116,252.82270757467685,286.6815765512076,184.48882900982144,211.65892399376006,227.44627281024432,211.7470255511345,211.6927187091885,236.2942315200435,213.64116930572473
213.64116930572473,246.5438175783272,201.4253818403272,243.57537448574783,296.50662869312026,182.39074700303937,214.2544024716369,223.55212977523072,215.0473041360572,213.6998334543648,243.1269975009547,209.8318999218139
209.8318999218139,240.05225172691905,195.94254620991458,242.31004381247251,296.77160156591765,173.66072444605888,208.9156931674922,215.624477888162,214.93674353391083,209.89042909239348,248.47366468149895,205.40796277145813
205.40796277145813,235.88377447855297,190.97491593811856,255.93112570950876,294.4379277486873,178.77818920474456,212.6045838769069,207.2945283911355,199.20307359283464,205.46633999791553,261.240575515725,227.63606710158436
227.63606710158436,249.8596827802558,194.17337259310332,265.3718458490488,309.15551946621446,184.88775171380593,220.8465447789634,226.79972800464108,220.86348101480286,227.69437955868898,261.57393339342036,255.17674661105318
255.17674661105318,275.3453538502645,205.58569241609612,270.51712836187784,302.2280767607368,201.52006220341096,228.00809172238527,248.48003346796125,250.61325113863103,255.23510214676128,259.6752951317056,188.27992277992277
188.27992277992277,195.80052979658143,163.3690375382095,189.79395035849967,289.05624883175744,120.32326728708803,167.2210953269047,186.55457537823398,188.84066501362642,188.33806149636774,254.59673396390983,187.31739847145212
187.31739847145212,193.48199084213175,151.3331081595197,190.58436818807434,292.35344445186513,146.90311707925937,172.06155905697932,178.8975629044526,192.6489685365497,187.37531527329213,247.37835829404972,197.10845722641972
197.10845722641972,208.72212170863887,157.27846550972728,195.63955012828424,302.960021431611,174.40302300473607,173.78574596375222,193.67733571643856,199.29717954515547,197.16619196469716,238.54608390156574,202.99535330876463
202.99535330876463,217.77811054109682,164.99180909647333,202.0295228162378,312.8307307653179,168.53217275928532,171.966775912478,201.0897187788345,201.02433453761617,203.05292977226807,228.59542206848383,223.00651411391348
223.00651411391348,234.79588159621562,175.3733616877526,206.40946606536167,332.2079512589681,178.35654326618965,176.70248219798913,218.65423872203633,225.4855502064001,223.06400992428232,219.1069087390822,255.92137733142036
255.92137733142036,264.4372033113849,192.91960415536073,210.11920693391906,363.8836421872929,191.76276557298465,188.28693674074668,250.08079320206062,257.4873932604394,255.97891939959152,209.39933034009246,261.4985835694051
261.4985835694051,278.71912046998887,213.9862692182199,220.29935792542258,381.0918570420286,220.87358490344084,198.84759312766624,260.7828784883848,261.63284507935884,261.5561931728704,199.6514293430176,277.04374240583235
277.04374240583235,288.64223974314166,236.32454249940167,235.2506520117392,375.5355422944776,232.62785897682514,208.68197651995382,277.3000542152612,278.38266764344854,277.1014777025217,190.45263129403997,323.2929920477137
323.2929920477137,334.42720176793404,264.6892622869104,250.74658474438925,418.6390639976506,290.0762110125106,228.67952262598584,330.8248941492197,328.2786731567798,323.3510283849496,192.8386952584459,333.2871932515337
333.2871932515337,345.91276975041364,288.8788654044794,268.10571563445137,442.1748320652292,292.55509606765764,243.38855828062063,336.0734541105125,327.47694780713766,333.34556729837817,186.2667945118926,328.19350018677625
328.19350018677625,336.77134476363403,299.24698491549964,263.2743383592098,450.4112831280382,293.6741864095503,248.05394393363738,324.02536449203467,321.8813784254334,328.25218950684115,181.0351651455883,341.6598110061145
341.6598110061145,347.34438196402334,307.8256931908835,276.80629362086324,465.5574976791014,303.0899100539078,268.04625431738447,345.83527299299914,336.24791704361456,341.71886370271295,147.9449816726007,339.9125599651112
339.9125599651112,343.1749146394514,311.26899346660196,301.60424199225577,470.6467223975192,307.43791844247284,279.91722229822886,334.93898718362635,340.43966894141084,339.9719670198716,150.55756902065508,364.1726800692318
364.1726800692318,363.6175789296769,317.9497256773934,324.524619196455,491.053658318857,322.0953810305483,306.25844501888713,355.19046232116784,369.57587904703536,364.23252981605,155.8051549581338,350.31314940881407
350.31314940881407,324.4495955711312,280.29399833162626,281.0868811810201,488.9932965293437,264.5136855158148,230.7354088980634,341.9079386056086,352.5310450091262,350.37338705929744,171.94183740432828,345.28690159574467
345.28690159574467,301.09544199912835,237.952120964343,256.1098526917097,487.31204211254715,238.85419617651365,205.3717877930928,332.8691832657826,343.60388189943654,345.34750446702145,202.44104185894645,299.6664425016812
299.6664425016812,252.01214798766892,201.85460233818304,231.36265374970802,457.3695576703039,206.03615823251397,186.0693333437891,287.1393250226372,302.5572915530862,299.7272369935127,227.41790017479101,199.05339805825247
199.05339805825247,182.33691747905002,167.67462145058326,194.50460036327084,374.41612187514534,168.36228014859554,169.84902179974395,191.93560839430234,200.67867703725852,199.11400541257103,231.97362717854088,197.1688608039319
197.1688608039319,172.389370240093,153.16350413770044,179.76912942547025,342.13836926602323,160.5189818783838,164.75273675087374,189.98164792787446,197.52045002207132,197.22927248379858,235.2840175686897,181.4034791639621
181.4034791639621,168.77187246074467,147.82699239617895,174.8060132064811,313.3958743841178,151.1053450846856,160.9112766227812,172.89632246554783,183.35496008813993,181.4636388468297,236.9982249076041,177.2044255319149
177.2044255319149,172.7451959284869,149.48342941894623,173.37070850967496,297.49665528293144,142.0089007704904,160.3049483821079,171.54473094334506,182.24323742387705,177.26431843488712,237.1387018602764,183.2935606060606
183.2935606060606,180.90694035895459,154.73511523751267,181.80733069206795,294.97299105016856,140.7332103806185,159.75345171864637,177.99076954709057,177.4884564578876,183.3532107081514,235.80009477911767,168.36020151133502
168.36020151133502,178.96215143557168,157.90127281375155,181.2636295557661,282.0183497705689,143.60061753100436,158.67346892739266,167.6420853394999,162.30648859469477,168.41955508235552,232.8149213532978,179.00488826815644
179.00488826815644,185.75674743026218,162.71130040847575,193.56919754202875,286.09425142154015,151.576617327892,160.44321642480426,189.63838347116624,173.67792562222576,179.06398553011712,228.61242341762207,193.51527377521617
